Emotion;Emotion_Value;File;Predominant_Color;Number_Of_Colors;Surface_Colored
Positive;0;audio_464.wav;lime;3;77.6
Positive;0;audio_465.wav;yellow;1;12.5
Positive;0;audio_466.wav;lightslategray;5;5.2
Positive;0;audio_467.wav;coral;1;24.2
Negative;1;audio_468.wav;lime;2;6.8
Positive;0;audio_469.wav;palevioletred;8;8.9
Negative;1;audio_47.wav;yellow;5;7.0
Negative;1;audio_470.wav;sienna;6;17.7
Positive;0;audio_471.wav;palevioletred;7;10.6
Positive;0;audio_472.wav;darkturquoise;9;21.3
Negative;1;audio_473.wav;palevioletred;11;13.4
Negative;1;audio_474.wav;palevioletred;4;14.6
Negative;1;audio_475.wav;blue;9;41.0
Positive;0;audio_476.wav;black;8;60.8
Positive;0;audio_477.wav;darkturquoise;9;26.0
Positive;0;audio_478.wav;yellow;8;13.4
Negative;1;audio_479.wav;yellow;3;0.4
Negative;1;audio_48.wav;black;2;3.9
Negative;1;audio_480.wav;red;2;12.2
Positive;0;audio_481.wav;blue;3;10.1
Positive;0;audio_482.wav;palevioletred;3;9.1
Negative;1;audio_483.wav;red;4;8.9
Negative;1;audio_484.wav;yellow;2;12.0
Positive;0;audio_485.wav;yellow;8;12.7
Negative;1;audio_486.wav;black;9;14.1
Negative;1;audio_487.wav;yellow;2;11.5
Positive;0;audio_489.wav;blue;3;13.6
Positive;0;audio_49.wav;yellow;6;14.9
Negative;1;audio_490.wav;lime;6;9.8
Negative;1;audio_493.wav;blue;5;9.2
Negative;1;audio_494.wav;blue;9;18.2
Negative;1;audio_495.wav;yellow;4;2.3
Negative;1;audio_496.wav;lime;6;12.8
Negative;1;audio_497.wav;blue;1;6.1
Negative;1;audio_498.wav;blue;5;9.2
Negative;1;audio_499.wav;black;3;17.2
Positive;0;audio_5.wav;forestgreen;3;3.0
Positive;0;audio_50.wav;lime;1;10.5
Positive;0;audio_500.wav;black;4;4.4
Negative;1;audio_501.wav;yellow;3;3.2
Negative;1;audio_502.wav;lime;6;8.4
Negative;1;audio_503.wav;red;4;14.8
Negative;1;audio_504.wav;red;2;10.9
Positive;0;audio_505.wav;indianred;4;15.0
Positive;0;audio_506.wav;red;3;5.5
Positive;0;audio_507.wav;darksalmon;6;25.7
Positive;0;audio_508.wav;midnightblue;7;11.3
Positive;0;audio_509.wav;red;2;3.6
Negative;1;audio_51.wav;blue;2;5.8
Positive;0;audio_510.wav;lime;4;15.9
Positive;0;audio_511.wav;blue;3;14.6
Negative;1;audio_512.wav;red;1;6.5
Positive;0;audio_513.wav;red;4;8.3
Negative;1;audio_514.wav;red;1;11.0
Positive;0;audio_515.wav;blue;4;23.2
Negative;1;audio_516.wav;blue;1;3.6
Negative;1;audio_517.wav;palevioletred;8;12.4
Negative;1;audio_518.wav;yellow;2;3.1
Negative;1;audio_519.wav;red;7;12.4
Negative;1;audio_52.wav;midnightblue;10;28.2
Positive;0;audio_520.wav;palevioletred;11;28.3
Negative;1;audio_521.wav;blue;1;10.6
Negative;1;audio_522.wav;red;1;3.2
Positive;0;audio_523.wav;palevioletred;10;24.1
